fraud,driver_relationship_spouse,collision_type_na,collision_type_rear,driver_relationship_other,incident_hour,authorities_contacted_fire,vehicle_claim,authorities_contacted_police,authorities_contacted_ambulance,policy_state_nv,driver_relationship_child,policy_state_ca,months_as_customer,injury_claim,incident_month,num_vehicles_involved,incident_dow,authorities_contacted_none,collision_type_front,customer_gender_male,driver_relationship_na,incident_type_theft,policy_state_wa,num_witnesses,customer_education,total_claim_amount,customer_age,policy_deductable,policy_state_or,policy_state_az,policy_annual_premium,num_claims_past_year,incident_type_collision,driver_relationship_self,num_injuries,incident_day,police_report_available,customer_gender_female,policy_state_id,incident_severity,incident_type_breakin,num_insurers_past_5_years,policy_liability,collision_type_side,auto_year
0,0,1,0,0,20,0,18000.0,1,0,1,0,0,4,0.0,10,1,2,0,0,1,1,1,0,0,2,18000.0,30,750,0,0,3000,0,0,0,0,30,0,0,0,1,0,1,2,0,2018
0,0,0,0,0,15,1,36500.0,0,0,0,0,1,90,6000.0,7,2,6,0,1,1,0,0,0,0,3,42500.0,46,750,0,0,2750,0,1,1,1,7,0,0,0,2,0,1,0,0,2018
0,1,0,1,0,15,0,15500.0,1,0,0,0,0,13,0.0,3,3,3,0,0,1,0,0,0,3,1,15500.0,19,750,0,1,3000,1,1,0,0,14,1,0,0,1,0,4,0,0,2017
0,0,0,0,0,3,0,25500.0,1,0,0,0,0,87,0.0,2,2,3,0,1,0,0,0,1,1,3,25500.0,54,750,0,0,3000,0,1,1,0,21,0,1,0,1,0,1,1,0,2016
0,0,0,0,0,9,0,11500.0,0,0,0,0,1,70,0.0,6,2,4,1,1,1,0,0,0,1,3,11500.0,33,750,0,0,2950,0,1,1,0,21,0,0,0,0,0,1,3,0,2018
0,1,0,0,0,21,0,4000.0,0,0,1,0,0,93,0.0,12,2,1,1,1,1,0,0,0,0,4,4000.0,53,750,0,0,3000,0,1,0,0,31,0,0,0,0,0,1,3,0,2014
0,0,0,0,0,8,0,13500.0,1,0,0,0,0,122,0.0,2,3,1,0,0,0,0,0,0,3,3,13500.0,57,750,0,0,2850,0,1,1,0,12,1,1,1,0,0,1,3,1,2020
0,0,0,0,1,11,0,15000.0,1,0,0,0,1,220,0.0,9,2,5,0,1,1,0,0,0,0,3,15000.0,70,750,0,0,3000,0,1,0,0,14,0,0,0,1,0,1,0,0,2020
0,0,0,1,0,6,0,42000.0,1,0,0,0,1,32,0.0,12,3,3,0,0,0,0,0,0,2,3,42000.0,25,750,0,0,3000,0,1,1,0,19,1,1,0,2,0,2,0,0,2018
0,0,0,0,0,17,0,11500.0,0,0,0,0,1,42,0.0,11,2,3,1,1,1,0,0,0,1,4,11500.0,40,750,0,0,3000,0,1,1,0,14,0,0,0,0,0,2,0,0,2015
0,0,0,0,0,15,0,12500.0,1,0,0,0,0,174,0.0,10,3,6,0,1,1,0,0,0,1,4,12500.0,60,750,0,0,2750,0,1,1,0,6,1,0,1,0,0,1,1,0,2016
1,0,0,1,0,15,0,8500.0,0,0,0,0,1,160,0.0,7,2,1,1,0,1,0,0,0,1,1,8500.0,49,750,0,0,3000,0,1,1,0,30,0,0,0,0,0,1,2,0,2015
0,0,0,0,0,14,0,3000.0,1,0,0,0,0,309,0.0,3,1,4,0,1,1,0,0,1,0,4,3000.0,55,750,0,0,3000,0,1,1,0,1,0,0,0,0,0,1,3,0,2013
0,0,0,0,1,17,0,3000.0,1,0,0,0,1,68,5000.0,3,2,4,0,0,1,0,0,0,1,3,8000.0,58,750,0,0,2450,0,1,0,1,8,0,0,0,1,0,1,2,1,2009
0,0,0,1,0,17,0,12500.0,0,0,0,0,0,12,6000.0,1,2,0,1,0,1,0,0,0,1,3,18500.0,39,750,0,1,3000,0,1,1,1,21,0,0,0,0,0,3,0,0,2015
0,0,0,0,0,7,0,14000.0,1,0,0,0,1,36,30000.0,3,3,6,0,1,1,0,0,0,0,4,44000.0,35,750,0,0,3000,0,1,1,3,24,1,0,0,1,0,3,0,0,2019
0,0,0,0,0,6,0,36500.0,1,0,0,0,0,81,12000.0,3,3,0,0,1,1,0,0,0,3,3,48500.0,42,750,1,0,2950,0,1,1,3,18,1,0,0,2,0,1,2,0,2016
0,1,0,0,0,10,0,6000.0,1,0,0,0,1,94,0.0,3,2,6,0,1,0,0,0,0,1,1,6000.0,46,750,0,0,3000,0,1,0,0,31,1,1,0,1,0,1,3,0,2010
